X,Y,Record_ID,Store_Name,Store_Street_Address,Additonal_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId
-8224189.35823988,4993770.00258658,1617839,Asha Grocery & Halal Meat Inc.,3110 Bainbridge Ave,,Bronx,NY,10467,3908,BRONX,Grocery Store,40.87397,-73.87915,,,413
-8239117.52459424,4969311.30573867,1630350,America's Natural Food,46 Trinity Pl,,New York,NY,10006,2221,NEW YORK,Other,40.707623,-74.013252,,,414
-8232743.5931904,4984953.53280826,1633468,California Grill And Deli Corp,1348B Amsterdam Ave,,New York,NY,10027,2533,NEW YORK,Convenience Store,40.814056,-73.955994,,,415
-8218889.77124168,4993071.91684778,1619594,Munchies Deli I,500 Baychester Ave,,Bronx,NY,10475,4566,BRONX,Convenience Store,40.869228,-73.831543,,,416
-8231232.65374186,4980841.73858171,1627029,Metro North Market Deli Inc,1944 1st Ave,,New York,NY,10029,6405,NEW YORK,Grocery Store,40.786095,-73.942421,,,417
-8475745.35867183,5319143.08793938,1375438,Samirs Imported Food,811 E Genesee St,Ste 1,Syracuse,NY,13210,1574,ONONDAGA,Grocery Store,43.047096,-76.138916,,,418
-8228428.29312979,4985484.96755157,1623069,151 Deli & Grocery Corp,615 Melrose Ave,#1,Bronx,NY,10455,    ,BRONX,Convenience Store,40.817669,-73.917229,,,424
-8222788.9590457,4989904.80776597,1633701,Amani Halal Meat Market Corp,705 Rhinelander Ave,,Bronx,NY,10462,3222,BRONX,Grocery Store,40.84771,-73.86657,,,428
-8222916.30854317,4991352.6780238,1623184,Green Apple,2197 White Plains Rd,,Bronx,NY,10462,1405,BRONX,Convenience Store,40.857548,-73.867714,,,429
-8220712.40526444,4988181.56605723,1625129,Tex Mex Deli & Grocery 1 Corp,2311 Westchester Avenue,,Bronx,NY,10462,    ,BRONX,Grocery Store,40.835999,-73.847916,,,430
-8111530.58265287,4977085.27167488,1626926,525 King Mini Market Corp,525 Neighborhood Rd,,Shirley,NY,11967,4003,SUFFOLK,Convenience Store,40.76054,-72.867119,,,433
-8212393.49971746,5284381.82091617,1628883,Ambebhavani,1536 Crescent Rd,Unit A7,Clifton Park,NY,12065,    ,SARATOGA,Grocery Store,42.81847,-73.773186,,,435
-8231371.1351884,4982787.49648104,1633529,Dan's Quick Stop,80 E 116th St,,New York,NY,10029,1128,NEW YORK,Convenience Store,40.799328,-73.943665,,,494
