street_address,zip_code,store_types,total_auth_count,deauth_count,address_history_years,churn_tier,store_names
330 Lewis Avenue,11221,Medium Grocery Store,1,1,13.7,None,Lewis Deli & Grocery I Corp
330 St Nicholas Ave,10027,Fruits/Veg Specialty,1,0,2.6,None,Uptown Good Food
1295 Pacific Street,11216,Convenience Store,1,1,9.9,None,Pacific Smoke Shop And Grocery Corp
1296 Nostrand Ave,11226,Small Grocery Store,1,1,9.7,None,Kings County Halal Deli Corp
1296 SHERIDAN AVE,10456,Small Grocery Store,1,1,21.7,None,SHERIDAN MINI MARKET CORP
1296 Walton Ave,10452,Convenience Store,1,0,32.6,None,1296 Rivera Grocery Inc
1297 Prospect Pl,11213,Convenience Store,1,1,2.8,None,1297 Deli Grocery Corporation
1299 2nd Ave,10065,Combination Grocery/Other,1,1,15.6,None,Rite Aid 10533
3302 3rd Ave,10456,Convenience Store,1,0,-0.9,None,US & SL LLC
3303 Broadway,11106,Medium Grocery Store,1,0,10.7,None,Fresh Fruit & Cafe Organic Inc
330 E 138th St,10454,Farmers' Market,1,1,10.6,None,The South Bronx Farmers Market LLC
330 E 188th St,10458,Small Grocery Store,1,1,15.3,None,KKTN African Market
330 Graham Ave,11211,Combination Grocery/Other,1,0,31.3,None,Kids A.M. Inc/C-Town
330 Heberton Ave,10302,Small Grocery Store,1,1,16.5,None,Port Richmond Convenience Corp
330 Kings Hwy,11223,Super Store,1,1,14.8,None,Fresh King Inc/ Associated Supermarket
330 Lewis Ave,11221,Small Grocery Store,1,1,8.9,None,J & A Deli Grocery Inc I
3306 28th Ave,11103,Small Grocery Store,1,1,21.6,None,FAMILY DELI GROCERY
3306 Church Ave,11203,Combination Grocery/Other,1,3,32.2,None,AMBROSIA- 7WAYS TO NATURE HEALTH FOODS
3308 BAILEY AVE,10463,Small Grocery Store,1,1,28.8,None,MINI MARKET FOOD CORP
3308 Bailey Ave,10463,Convenience Store,1,1,9.3,None,Soto Grocery & Deli 2 Inc
330 W Broadway,10013,Convenience Store,1,1,3,None,Lemon Tree Gourmet Deli Inc
3300 Northern Blvd,11101,Convenience Store,1,0,-0.3,None,Zain Market Corp
3301 30th Ave,11103,Combination Grocery/Other,1,1,21.8,None,Rite Aid 1805
3302 31st Ave,11106,Small Grocery Store,1,1,20.4,None,WIDE LAKE INC
331 Myrtle Ave,11205,Supermarket,1,0,34.6,None,331 Eusebio Food Corp
331 NOSTRAND AVE,11216,Convenience Store,1,1,25.3,None,N Q SUPERMARKET & DELI
331 Port Richmond Ave,10302,Supermarket,1,1,11.6,None,Food Kingdom Corp/Key Food
3310 Church Ave,11203,Small Grocery Store,1,0,-0.2,None,KF Frozen Seafood Market
3304 3rd Ave,10456,Medium Grocery Store,1,1,18.8,None,Bimet African/American Supermarket
3304 Amboy Rd,10306,Convenience Store,1,2,14.9,None,T N S Superette Corp/ Angelos Deli & Bagel
3305 102nd St,11368,Small Grocery Store,1,1,12.9,None,M & C Mini Market Inc.
3305 Church Ave,11203,Medium Grocery Store,1,0,1.8,None,Yemen Al Khair Grocery Corp
13-15 W 100TH ST,10025,Supermarket,1,1,27.2,None,J K J Corp
13-Mar 27th Ave,11102,Small Grocery Store,1,0,-0.5,None,Wholesome Farms Market Vi Corp.
130 11 N Conduit Avenue,11420,Convenience Store,1,1,3.8,None,Conduit Services Inc.
130 5th Ave,10011,Combination Grocery/Other,1,0,2.6,None,CVS Pharmacy 11434
130 5th Ave,11217,Combination Grocery/Other,1,0,-0.7,None,CVS Pharmacy 11486
130 7th Ave,11215,Super Store,1,0,47.3,None,Key Food 890
333 7th Ave,10001,Combination Grocery/Other,1,0,18.1,None,DUANE READE 14138
333 E 102 St,10029,Combination Grocery/Other,1,1,18.3,None,DUANE READE 338
332 Albany Ave,11213,Medium Grocery Store,1,0,20,None,Benzs Food Products Inc
333 E 138TH ST,10454,Medium Grocery Store,1,1,20.3,None,GABBY GROCERY & DELI INC
333 E 138TH STREET,10454,Small Grocery Store,1,1,15.6,None,138 ALEXANDER DELI CORP
333 E 14 ST,10003,Supermarket,1,1,33.2,None,GRISTEDE'S 428
333 E 14th St,10003,Combination Grocery/Other,1,1,17.1,None,DUANE READE 395
333 E 23rd St,10010,Convenience Store,1,1,12.9,None,7-Eleven Store 34764A
333 East 23rd St,10010,Convenience Store,1,1,5.9,None,7 Eleven 34764H 34764H
333 Sand Ln,10305,Combination Grocery/Other,1,1,13.6,None,Adam's Apple Corp
332 Port Richmond Ave,10302,Supermarket,1,1,10.3,None,KeyFood Fresh 0467738
3320 Broadway,10031,Super Store,1,0,36.9,None,3011 GROCERY INC/C-TOWN
3311 Church Ave,11203,Small Grocery Store,1,1,24.5,None,MI PUEBLO YAMASA DELI GROCERY INC
3313 Ely Ave,10469,Meat/Poultry Specialty,1,0,19.4,None,Salahi Live Poultry Inc
3314 DITMARS BLVD,11105,Combination Grocery/Other,1,1,95.1,None,F&F MEATS INC DBA K&T QUALITY MTS
3315 Ditmars Blvd,11105,Fruits/Veg Specialty,1,1,15,None,Astoria Farmers Market
3315 White Plains Rd,10467,Supermarket,1,0,14.1,None,Cagueyes Food Corp - Fine Fare Supermarket
3318 30th Ave,11103,Convenience Store,1,1,23.2,None,LA CABANA INC.
3322 3rd Ave,10456,Small Grocery Store,1,1,19,None,Amazing 99C Plus Corp.
3324 3rd Ave,10456,Convenience Store,1,1,0.6,None,Bronx Mini Mart Corp
3324 Avenue I,11210,Convenience Store,1,1,17,None,Amazing African/American Food & Gift Store Inc
3324 Tilden Avenue,11203,Small Grocery Store,1,1,12.2,None,"Tilden Deli & Grocery, Inc"
332 Bowery,10012,Small Grocery Store,1,1,22.6,None,DUNAS FOOD CORP
332 Foster Ave,11230,Small Grocery Store,1,1,30.3,None,R & P DELI AND GROCERY
332 Hooper St,11211,Small Grocery Store,1,3,29.3,None,R O MEAT MARKET
332 Myrtle Ave,11205,Convenience Store,1,1,12.9,None,Myrtle Ave Family Deli Corp
2172 AMSTERDAM AVE,10032,Small Grocery Store,1,1,22,None,RAYMOND GROCERY DELI
2172 Starling Ave,10462,Small Grocery Store,1,1,9.5,None,Sterling Deli & Grocery
217 St  Anns Ave,10454,Small Grocery Store,1,2,14.6,None,217 Daniela Deli Grocery Corp
217 St Ann's Ave,10454,Small Grocery Store,1,1,18.8,None,217 A & D Grocery Inc.
217 St Anns Avenue,10454,Medium Grocery Store,1,3,10.2,None,217 Baitoa Deli Grocery Corp
217 W 145th St,10039,Small Grocery Store,1,1,13.9,None,Big Nose Deli & Grocery Inc
217-17 Jamaica Ave,11428,Small Grocery Store,1,1,17.4,None,Eraj Halal Meat & Groceries Incorporated
217-21 JAMAICA AVE,11417,Convenience Store,1,1,22.7,None,PANCHOS GROCERY
3355 Crescent St,11106,Combination Grocery/Other,1,1,19.6,None,Walgreens 01180
2174 Pitkin Ave,11207,Convenience Store,1,1,9.7,None,F & S Deli Corp
2176 86th St,11214,Medium Grocery Store,1,0,9.9,None,"86th Street Grocery & Snacks, Inc."
2170 Frederick Douglass Blvd,10026,Combination Grocery/Other,1,1,19.5,None,RITE AID 7760
2171 Broadway,10024,Super Store,1,1,35.8,None,Westside Supermarket
21717 Jamaica Ave,11428,Medium Grocery Store,1,1,16.7,None,BDWS Inc
21719 Merrick Blvd,11413,Small Grocery Store,1,1,12.8,None,Star Deli & Food Inc
2172 21st St,11105,Convenience Store,1,0,7.9,None,The Sherpaz Deli And Grocery
1299 Franklin Avenue,10456,Small Grocery Store,1,2,13.7,None,Aneurys Grocery Corp
1299 Southern Blvd,10459,Fruits/Veg Specialty,1,1,13.6,None,Hesham Ibrahim A Ahmed/SAM'S FRUIT & VEGETABLES GC
129A Brighton Beach Ave,11235,Combination Grocery/Other,1,1,22.5,None,New Brighton Trading Corp.
12A Sutter Ave,11212,Small Grocery Store,1,1,14.4,None,2020 DISCOUNT COFFEE & NEWS INC.
13 Catherine St,10038,Fruits/Veg Specialty,1,1,7.5,None,Xing Wang Food Inc
13 E 213th St,10467,Convenience Store,1,1,12.5,None,J & L 15-17 Corp
3350 Broadway Num 5,10031,Convenience Store,1,1,10.3,None,Chubby Hubby Deli Corp
3351 Broadway,10031,Small Grocery Store,1,1,20.1,None,3351 Sanchez Deli Grocery
13 E Tremont Ave,10453,Large Grocery Store,1,1,9.1,None,La Reyna Super Foods Corp
13 Market St,10002,Small Grocery Store,1,1,15.6,None,Zhou Hui Grocery Store
13 Newport St,11212,Convenience Store,1,2,8,None,Samy Deli And Grocery Corp
13 Tompkins Ave,10304,Convenience Store,1,3,12.7,None,13 Golden Deli Inc.
13 W 100th St,10025,Supermarket,1,0,8.1,None,Associated Supermarket 743
13-11 40 Ave,11101,Small Grocery Store,1,1,19.3,None,Brother's Mini Market
13-11 40TH AVE,11101,Convenience Store,1,1,21.1,None,VALDEZ 1311 MINI MARKET CORP
1299 FRANKLIN AVE,10456,Small Grocery Store,1,1,20.5,None,CECILIA'S GROCERY & DELI
3340 Fulton St,11208,Combination Grocery/Other,1,1,32.4,None,CRESCENT CORNER INC
3340-44 Ft  Independence St,10463,Small Grocery Store,1,1,17.3,None,Fort Independence Grocery Corp
3341 Fulton St,11208,Convenience Store,1,1,6.7,None,Remas Deli And Gourmet Corp
333 Soundview Ave,10473,Small Grocery Store,1,1,32.4,None,STEVE'S CORNER DELI & GROCERY
3330 Broadway,10031,Fruits/Veg Specialty,1,1,12,None,Fresh Pick / Ahmed Selim GC
3333 E Tremont Ave,10461,Convenience Store,1,1,14.1,None,Bp Gas Station And Convinience Store
3337 Fulton St,11208,Convenience Store,1,0,-0.2,None,Fultons Tasty Gourmet Inc.
334 Albany Ave,11213,Meat/Poultry Specialty,1,0,2.3,None,Ch Butcher
3347 Broadway,10031,Medium Grocery Store,1,1,3.6,None,M&g Fresh Produce Corp
335 E 118 St,10035,Small Grocery Store,1,1,18.7,None,Birdie's Grocery Deli
335 Grand St,10002,Convenience Store,1,1,21.3,None,EASTERN SUPERMARKET INC
335 Kingston Ave,11213,Medium Grocery Store,1,0,42.8,None,R AND R FRUIT & PRODUCE EMPORIUM
3350 Broadway,10031,Convenience Store,1,1,4.3,None,Convenience And Candy Corp
334 E 106th street,10029,Convenience Store,1,1,11.7,None,All Fresh Grocery & Deli Corp
334 Linden St,11237,Meat/Poultry Specialty,1,0,21.6,None,KIKIRIKI LIVE POULTRY INC
3340 44 Fort Independence Street,10463,Convenience Store,1,1,0.7,None,Kimberly Deli Grocery Corp
218-59 Hempstead Ave,11429,Small Grocery Store,1,1,18.9,None,Spring Deli
218-71 Hempstead Ave,11429,Small Grocery Store,1,1,16.6,None,218-71 Hempstead Grocery Corp
2180 86th St,11214,Bakery Specialty,1,0,13.3,None,Golden Bun Bakery Inc.
3355 E Tremont Ave,10461,Convenience Store,1,0,-0.2,None,Speedway 7890
336 Central Ave,11221,Convenience Store,1,1,14.1,None,Central Service Center
336 E 106th St,10029,Small Grocery Store,1,1,21.2,None,YEMEN DELI GROCERY
336 E 167 ST,10456,Small Grocery Store,1,1,20.8,None,El Saboreo Deli Grocery LLC
3344 FORT INDEPENDENCE STREET,10463,Unknown,1,1,25.8,None,WEST SIDE DELI & GROCERY
2170 5th Ave,10037,Supermarket,1,1,27.7,None,JOBER FOOD CORP/ASSOCIATED SPMKT
2170 Crotona Ave,10457,Meat/Poultry Specialty,1,1,16.7,None,Salvation Meat Market
217 E 167th St,10456,Medium Grocery Store,1,1,13.7,None,Marthas Cake Studio
217 E 198th St,10458,Unknown,1,1,20.1,None,217 E 198th Street Corp
217 E TREMONT AVE,10457,Fruits/Veg Specialty,1,1,32.5,None,K & K FRUIT STORE
217 E Tremont Ave,10457,Combination Grocery/Other,1,1,16.6,None,Fresh Fish Market Inc
217 Knickerbocker Avenue,11237,Small Grocery Store,1,1,14.4,None,Knickerbocker Food Corp I
217 Malcolm X Blvd,10027,Small Grocery Store,1,0,13.2,None,Lenox Gourmet Deli & Grocery Corp
3385 Boston Rd,10469,Combination Grocery/Other,1,1,7.5,None,Minka African Food Market
3386 Jerome Ave,10467,Medium Grocery Store,1,3,26.9,None,"BIG G DELI, INC."
3387 3rd Ave,10456,Medium Grocery Store,1,0,9.8,None,New Bronx Halal Meat Market Inc
3387 Broadway,10031,Combination Grocery/Other,1,0,12.6,None,Duane Reade 14489
3387 Third Ave,10456,Small Grocery Store,1,1,21.3,None,3387 3 AVENUE DELI GROCERY
1293 BRONX RIVER AVE,10472,Small Grocery Store,1,1,21.7,None,CABADA DELI GROCERY STORE
1293 Boston Rd,10456,Convenience Store,1,0,7.5,None,Forever Deal Inc 1
1294 E 19TH ST,11230,Convenience Store,1,1,30.1,None,"PHINEX INTERNATIONAL FOOD, INC."
336 McGuinness Blvd,11222,Convenience Store,1,1,23.8,None,GINELLE MINI MARKET
336 Mcguinness Blvd,11222,Small Grocery Store,1,1,9.2,None,Rh Victory Grocery Corp
3361 Broadway,10031,Large Grocery Store,1,1,15.1,None,MI PAIS SUPERMARKET INC
3361A E Tremont Ave,10461,Small Grocery Store,1,1,7.5,None,Hadiss Deli & Grocery Corp
3362 Broadway,10031,Bakery Specialty,1,1,16.9,None,Ysam Bakery Corp
3381 Broadway,10031,Medium Grocery Store,1,1,19.6,None,601 W 137 Deli Corp
3381 Fulton St,11208,Small Grocery Store,1,0,0.3,None,El Novillo Meat #3
3382 Atlantic Ave,11208,Combination Grocery/Other,1,0,11.7,None,Family Dollar 10208
3372 Hull Ave,10467,Combination Grocery/Other,1,0,0.7,None,Koftown African Market
3373 Fulton St,11208,Fruits/Veg Specialty,1,1,12.3,None,Kabibur Rahman GC
3362 Fulton St,11208,Bakery Specialty,1,1,18.6,None,El Mana Bakery Inc
3365 Broadway,10031,Fruits/Veg Specialty,1,0,1.7,None,Marino Duarte Jimenez
3365 Neptune Ave,11224,Convenience Store,1,1,13.7,None,Neptune Stationery Corp
3367 Broadway,10031,Large Grocery Store,1,1,30,None,"BROADWAY FOOD CENTER, INC"
336A Graham Ave,11211,Medium Grocery Store,1,1,15.6,None,Natural Crop Inc
337 Albany Ave,11213,Bakery Specialty,1,1,31.9,None,Albany Bakery
3379 Broadway,10031,Small Grocery Store,1,1,22.8,None,BROADWAY EXPRESS FOOD CORP
338 CENTRAL AVE,11221,Small Grocery Store,1,1,30.2,None,FAMILY GROCERY
338 E 23rd St,10010,Combination Grocery/Other,1,0,21.5,None,CVS PHARMACY 2434
338 E Gun Hill Rd,10467,Bakery Specialty,1,1,21.3,None,MANA DEL CIELO BAKERY INC
338 Flushing Ave,11205,Seafood Specialty,1,0,1,None,Livyusen Fish
337 E 146TH ST,10451,Small Grocery Store,1,1,22.9,None,MORALES GROCERY STORE
337 E 146th Street,10451,Small Grocery Store,1,1,13.3,None,A&c Gourmet Corp
3370 Broadway,10031,Farmers' Market,1,1,8.6,None,West Harlem Farmers Market
1430 Broadway,10018,Combination Grocery/Other,1,1,18.2,None,DUANE READE 14111
1430 Richmond Avenue,10314,Large Grocery Store,1,1,14.5,None,Lander Market
1430 St Peters Ave,10461,Small Grocery Store,1,1,26.6,None,ST PETERS MINI MARKET
2165 1st Avenue,10029,Convenience Store,1,1,11.6,None,Hot Spot Deli
2165 Ryer Ave,10457,Convenience Store,1,1,12.6,None,Ryer Discount Corp
143 Grand St,10013,Convenience Store,1,1,1.8,None,Soho Olive Branch Deli
143 Manhattan Ave # 001,11206,Convenience Store,1,1,24.6,None,BROTHER&SISTER FISH MKT&FAST FOOD
143-01 Holly Ave,11355,Combination Grocery/Other,1,0,1.5,None,Shree Siddhivinayka
12909 Liberty Ave,11419,Combination Grocery/Other,1,1,11.2,None,130 Deli & Grocery
34-02 30 ST,11106,Convenience Store,1,1,31.6,None,SALAMIS FOODS INTERNATIONAL
34-02 31st Ave,11106,Convenience Store,1,0,2.3,None,Fresh 1 Deli And Grill Inc
34-08 UNION ST,11354,Medium Grocery Store,1,1,21,None,UNION HANKOOK MEAT INC
217 Avenue A,10009,Small Grocery Store,1,1,18.1,None,EAST VILLAGE GOURMET DELI CORP
217 Brighton Beach Ave,11235,Small Grocery Store,1,0,9.5,None,Tuba Management Corp
217 Broadway,10007,Combination Grocery/Other,1,0,2,None,CVS Pharmacy 11384
1430 5th Ave,10035,Small Grocery Store,1,1,21.9,None,NEW HARLEM FAMILY SUPERMARKET COR
1291 EASTERN PKWY,11233,Medium Grocery Store,1,1,14.5,None,EASTERN PKWY FOOD CORP
1291 Eastern Pky,11233,Convenience Store,1,1,17.9,None,AA Food Market
12919 101st Ave,11419,Convenience Store,1,1,0.7,None,130 Express
338 Myrtle Ave,11205,Small Grocery Store,1,1,20.5,None,FORT GREEN DELI & GROCERY CORP
338 S 4th St,11211,Small Grocery Store,1,1,22.9,None,EL CONUCO MARKET PLACE INC
129-135 RIDGE ST,10002,Small Grocery Store,1,1,23.3,None,FRIENDLY SUPERMARKET
1290 College Ave,10456,Combination Grocery/Other,1,1,9.2,None,Charlie Convenience Grocery Inc
12903 N Conduit Ave,11420,Convenience Store,1,0,-0.2,None,Speedway 7828
1294 Lexington Ave,10128,Combination Grocery/Other,1,0,22.1,None,CVS  2717
1294 Westchester Ave,10459,Small Grocery Store,1,1,15.8,None,New Begining Restaurant Corp
1294 Westchester Avenue,10459,Small Grocery Store,1,1,12,None,Mealtime Inc
1295 Broadway,11221,Convenience Store,1,1,7,None,Broadway Food Universe Inc. dba Dollar Deals
1295 Pacific St,11216,Convenience Store,1,1,8.5,None,Lucky Star Smoke Shop And Grocery Corp
1290A Amsterdam Ave,10027,Convenience Store,1,2,8.9,None,Shuvalakshmi Inc
1291 Boston Rd,10456,Convenience Store,1,1,20.3,None,DOLLAR PYRAMID INC
1291 Boston Road,10456,Convenience Store,1,1,12.6,None,"Jk Convenience Store Express, Inc."
3399 E Tremont Ave,10461,Convenience Store,1,1,10.5,None,Supreme Deli Deluxe
339 E 108TH ST,10029,Small Grocery Store,1,1,24.9,None,Mi Pueblo Grocery Store Inc.
339 Gateway Dr,11239,Super Store,1,0,15.9,None,BJ's Wholesale Club 138
339 KEAP ST,11211,Small Grocery Store,1,1,21.6,None,J & K GROCERY STORE
339 Saratoga Avenue,11233,Small Grocery Store,1,1,13.9,None,Bergen St Food Corp
3408 Park Ave,10456,Large Grocery Store,1,1,13.9,None,B United African Market
3409 Church Ave,11203,Convenience Store,1,1,9.6,None,Supply Food Corp
341 3rd Ave,10010,Supermarket,1,0,54.4,None,"D'Agostino Supermarkets, Inc 11-25"
34 Bedford Park Blvd E,10468,Convenience Store,1,1,13.8,None,Take a Bite Deli and Grocery Inc
34 Jerome Ave,10467,Fruits/Veg Specialty,1,1,12,None,Md M Quader GC
34 Nostrand Ave,11205,Small Grocery Store,1,1,12,None,Marcy Deli Corp
3394 3rd Ave,10456,Medium Grocery Store,1,2,15.4,None,L.w. African Market Inc
3394 Jerome Ave,10467,Fruits/Veg Specialty,1,1,14.1,None,Asad NYC Green Cart GC
3395 Broadway,10031,Small Grocery Store,1,1,21.1,None,R & K BAKERY INC
3397 Boston Rd,10469,Combination Grocery/Other,1,1,4.2,None,Micklind Cake Boutique
3397 White Plains Rd,10467,Convenience Store,1,1,21.5,None,BANESA DELI GROCERY
143 E 149th St,10451,Convenience Store,1,1,6.2,None,Wilton Ave Deli & Grocery Inc
2173 Gerristen Ave,11229,Large Grocery Store,1,1,8.2,None,Y E R Fruit City Inc.
2173 White Plains Rd,10462,Large Grocery Store,1,1,45.3,None,GOOD N NATURAL INC
34-45 Francis Lewis Blvd,11358,Combination Grocery/Other,1,0,10.2,None,Dollar Tree 5747
34-55 CRESCENT ST,11106,Convenience Store,1,1,20.4,None,CRESCENT DELI & GROCERY
34-60 48th Street,11101,Super Store,1,0,4,None,"BJ's Wholesale Club, Inc. 364"
34-61 Junction Blvd,11368,Convenience Store,1,1,9.1,None,Azaal Deli Corp
34 35th St,11232,Large Grocery Store,1,0,3.2,None,Sahadi's Llc
143-02 Farmers Blvd,11434,Small Grocery Store,1,1,19.7,None,D & C Mini Market Corp
143-02 LAKEWOOD AVE,11435,Convenience Store,1,1,24,None,MELISSA'S DELI GROCERY
143-145 Avenue D,10009,Medium Grocery Store,1,1,12.3,None,D'Margarita Deli Grocery Corp
143-59 A 243 ST,11422,Fruits/Veg Specialty,1,1,34.7,None,ROSEDALE FRUIT & VEGETABLE INC
1428 Central Ave,11691,Small Grocery Store,1,1,16.8,None,Obid Discount & Food Corp
1429 Webster Ave,10456,Convenience Store,1,0,-0.6,None,Webster Discount 1 Corp
143 AVE D,10009,Small Grocery Store,1,1,20.3,None,JAMAL'S AVE D DELI & GROCERY
143 Central Ave,11221,Convenience Store,1,1,1.6,None,Laziza Deli & Grill 3 Corp
1288 Clove Rd,10301,Convenience Store,1,1,2,None,Clove Convenience & Grocery Corp 920290107
3418 Steinway St,11101,Convenience Store,1,1,11.9,None,Sweet Spot Delicatessen
3419 14th Ave,11218,Convenience Store,1,0,-0.7,None,Halal Deli & Grocery Llc
3419 Broadway,10031,Convenience Store,1,1,20.4,None,JIMENEZ GROCERY 139
341C Wadsworth Ave,10040,Convenience Store,1,1,12.3,None,188th Food Corp.
342 E 22nd St,10010,Seafood Specialty,1,1,14.8,None,Rosendo Fish LLC
342 Flatbush Ave,11238,Super Store,1,0,5.4,None,Mpm Enterprises Flatbush Inc.
342 JEFFERSON ST,11237,Small Grocery Store,1,1,23.9,None,INFANTE GROCERY
340 E 86th St,10028,Convenience Store,1,0,-0.4,None,365 Family Deli & Grocery
340 Lenox Ave,10027,Convenience Store,1,0,-0.7,None,B Organic Choice Inc
340 Victory Blvd,10301,Small Grocery Store,1,1,32.4,None,EMIL'S HALAL MEAT MARKET
340 Wilson Ave,11221,Convenience Store,1,0,2,None,Ahehuete Deli & Grocery Corp
342 Knickerbocker Ave,11237,Small Grocery Store,1,0,1.1,None,Happy Face Baby Shop & Grocery Inc.
3420 Quentin Rd,11234,Convenience Store,1,0,12.5,None,Siddhi Food Inc
3421 Broadway,10031,Small Grocery Store,1,2,22.1,None,STOP 1 DELI MINI MARKET INC
1287 MADISON ST,11221,Small Grocery Store,1,1,22.5,None,COMPARE DISCOUNT FRUIT MARKET
3400 Bainbridge Ave,10467,Fruits/Veg Specialty,1,1,13.6,None,Kazi Akter GC
3400 Boston Rd,10469,Combination Grocery/Other,1,1,23.3,None,BACK HOME CARIBEAN FRTS & VEG.
3400 Park Ave,10456,Super Store,1,0,3.8,None,First Gold Coast Corp - Gold Coast Trading
3401 Jerome Ave,10467,Convenience Store,1,0,3.6,None,Lucky Spot Convenience Corp
3402 31st Ave,11106,Convenience Store,1,1,9.4,None,Ananta Convenience Store Inc
3402 34th Ave,11106,Small Grocery Store,1,2,34,None,ST JAMES DELI GROC
340 E 174th St,10457,Small Grocery Store,1,1,8,None,The Dulce Esquina
340 E 204th St,10467,Convenience Store,1,1,15,None,S & S Ventures Inc -  Price Busters
341 9th St,11215,Combination Grocery/Other,1,0,21.5,None,CVS PHARMACY  2498
341 Wadsworth Ave,10040,Convenience Store,1,0,0.7,None,Pi 34 Deli Grocery Corporation
3402 AVE I,11210,Small Grocery Store,1,1,24.7,None,SHIRLEY FOOD CENTER CORP
3402 Broadway,10031,Fruits/Veg Specialty,1,1,11.2,None,Huseyin Aslan Green Cart
3402 Church Ave,11203,Combination Grocery/Other,1,1,10.9,None,3402 Church Ave Enterprizes/ Fun City II
3404 Avenue N,11234,Convenience Store,1,1,12,None,VJ Mar-Vin Discount Variety
3405 Broadway,10031,Small Grocery Store,1,1,8.2,None,Hamilton Finest Deli Corp
3406 Church Ave,11203,Convenience Store,1,1,11.3,None,E&B Grocery Tobacco Corp
216 E 181st St,10457,Medium Grocery Store,1,2,20.6,None,J.S.DELI GROCERY STORE
216 E 198th St,10458,Medium Grocery Store,1,1,22,None,ABBISSE CORPORATION
216 Greene Ave,11238,Small Grocery Store,1,1,20.1,None,Hole In The Wall Deli Grocery Inc
216 Rogers Ave,11225,Combination Grocery/Other,1,1,15.6,None,Grace Of God Variety Store
216 Saint Anns Ave,10454,Small Grocery Store,1,0,9.2,None,Don Jose Mexican's Grocery Inc
216 W 231st St,10463,Seafood Specialty,1,2,21.2,None,New Sea Win Seafood Inc
216 W 96th St,10025,Convenience Store,1,0,2.6,None,King Boy Deli And Grocery Corp
2156 Westchester Ave,10462,Fruits/Veg Specialty,1,1,15.4,None,Westchester Fruits and Veggies Market
1427 Flatbush Avenue,11210,Small Grocery Store,1,1,11.1,None,Star Gourmet Deli Corp.
1427 Myrtle Ave,11237,Bakery Specialty,1,1,15.3,None,El Charro Bakery Corp
216-01 Jamaica Ave,11428,Combination Grocery/Other,1,1,28.5,None,"Apple Market, Inc"
2161 31st St,11105,Large Grocery Store,1,1,12.6,None,California Farmers Market Inc
2161 Amsterdam Ave,10032,Convenience Store,1,1,11.2,None,Best Service Station Inc
21617 Linden Blvd,11411,Small Grocery Store,1,1,7.7,None,Almazen Candy & Tobacco Corp.
2163 2nd Ave,10029,Convenience Store,1,1,14.1,None,Seiko 5 NY Deli Grocery Inc
216 Driggs Ave,11222,Small Grocery Store,1,2,14.8,None,Driggs Freedom Deli Corp
3411 Broadway,11106,Convenience Store,1,1,-0.3,None,Nosh Up Deli & Grill
3411 Jerome Ave,10467,Seafood Specialty,1,1,35.1,None,BAK'S FISH MARKET
3412 30th Ave,11103,Small Grocery Store,1,1,26.6,None,ZINDABAZAR DHAKA GROCERY
3412 34th Ave,11106,Super Store,1,0,18.1,None,3412  V &  F Food Corp/C-Town Supermarket
3413 Church Ave,11203,Medium Grocery Store,1,0,-0.3,None,Bonolata Supermarket 1
3426 Union St,11354,Medium Grocery Store,1,0,1.2,None,Corner Shop
1426 Kings Highway,11229,Convenience Store,1,1,19,None,Kings Convenience
1426 Zerega Ave,10462,Medium Grocery Store,1,1,11.4,None,New Shahjalal Grocery Inc
3413 Jerome Ave,10467,Seafood Specialty,1,2,19.4,None,JMS Seafood Corp
3415 Jerome Ave,10467,Convenience Store,1,1,9.7,None,Dollar 1 Plaza Inc
3417 28th Ave,11103,Convenience Store,1,1,23,None,WANDY'S MARKET INC.
3417 Northern Blvd,11101,Convenience Store,1,0,13.9,None,7-Eleven 39222A
3418 1/2 Boston Rd,10469,Small Grocery Store,1,1,22.8,None,APF FOOD CORP
3418 Boston Rd,10469,Convenience Store,1,1,11.6,None,Boston Road Mini Market
3411 36th Ave,11106,Convenience Store,1,1,4.3,None,Taco Deli Spot Corp
3411 Boston Rd,10469,Combination Grocery/Other,1,1,14.3,None,Tema African Market
129 Brighton Beach Ave Ste 3,11235,Bakery Specialty,1,1,22.9,None,"RUSSIAN BREAD CO, INC"
3444A E Tremont Ave,10465,Convenience Store,1,1,7.2,None,T & A Candy And Grocery Inc
3445 Baychester Ave,10469,Small Grocery Store,1,1,14.3,None,Baychester Convenience Corp
3448 Junction Blvd,11372,Bakery Specialty,1,1,20.7,None,BARRANQUILLA BAKERY INC
3448 Nostrand Ave,11229,Small Grocery Store,1,1,14.9,None,Brooklyn Super Discount Inc
345 1st Ave,10010,Convenience Store,1,0,3.5,None,Stuy Grill & Deli Corp
344 Greene Ave,11238,Convenience Store,1,0,3.1,None,Nature Market 2 Corp
344 Pennsylvania Ave,11207,Combination Grocery/Other,1,1,8.8,None,Dollar Tree 6209
129 East 47th Street,10017,Medium Grocery Store,1,0,3.1,None,Dainobu E47 1
129 Fulton St,10038,Combination Grocery/Other,1,0,21.5,None,CVS PHARMACY  2716
129 MOTT ST,10013,Small Grocery Store,1,1,21.1,None,LEE YING FUNG CHINESE HERBAL INC
1289A Fulton St,11216,Small Grocery Store,1,1,16.5,None,Niteline Convenience
128A Mott St,10013,Medium Grocery Store,1,1,20.9,None,LIAN FENG TRADING INC
