fns_record_id,store_name,store_type,street_address,city,borough,zip_code,county,state,latitude,longitude
251588,CROSS BRONX&ACROSS NY LIVE POULTR,Specialty Store,1663 Jerome Ave,Bronx,Bronx,10453,BRONX,NY,40.845772,-73.913788
1402942,7-Eleven Inc. 32117K,Convenience Store,8813 4th Ave,Brooklyn,Brooklyn,11209,KINGS,NY,40.620636,-74.028877
253238,ZINGONE BROS,Grocery Store,471 Columbus Ave,New York,Manhattan,10024,NEW YORK,NY,40.784229,-73.973602
253608,L & O Grocery Corp,Grocery Store,1618 Madison Ave,New York,Manhattan,10029,NEW YORK,NY,40.79501,-73.948524
1660925,Los Hijos de Chorro Deli Grocery Corp.,Grocery Store,701 Faile St,Bronx,Bronx,10474,BRONX,NY,40.814747,-73.886681
1661482,CT Grocery NY Corp,Convenience Store,869 Bryant Ave,Bronx,Bronx,10474,BRONX,NY,40.818787,-73.88678
1631004,Heavenly Market 10th Avenue Corp.,Convenience Store,440 10th Ave,New York,Manhattan,10001,NEW YORK,NY,40.75491,-73.998695
1631112,Matson's Delicatesen,Convenience Store,6466 Dry Harbor Rd,Middle Village,Queens,11379,QUEENS,NY,40.718246,-73.872658
1500239,M & N Deli Food Corp,Convenience Store,1093 Linden Blvd,Brooklyn,Brooklyn,11212,KINGS,NY,40.654564,-73.917747
1626591,Sunshine Gourmet Deli 2 Inc,Convenience Store,18511 Jamaica Ave,Hollis,Queens,11423,QUEENS,NY,40.709946,-73.773659
1625913,Valentine 181 Mini Mart Corp 1,Convenience Store,2130 Valentine Ave,Bronx,Bronx,10457,BRONX,NY,40.853931,-73.899208
254363,WALGREENS 05051,Other,21914 Merrick Blvd,Laurelton,Queens,11413,QUEENS,NY,40.6791,-73.749847
1556583,Chris & Deebo Mini Mart Inc.,Convenience Store,199 Howard Ave,Brooklyn,Brooklyn,11233,KINGS,NY,40.681675,-73.919609
255800,WORLD SPICE DISCOUNT CENTER,Grocery Store,2164 Westchester Ave,Bronx,Bronx,10462,BRONX,NY,40.834003,-73.852219
1567750,Candy & Newsstand Convenience Inc,Convenience Store,2835 86th St,Brooklyn,Brooklyn,11223,KINGS,NY,40.592587,-73.978035
250325,HOME DELI & CATERING,Convenience Store,7135 73rd Pl,Glendale,Queens,11385,QUEENS,NY,40.70451,-73.876282
243251,Top Choice Meat Market Corp,Grocery Store,3600 White Plains Rd,Bronx,Bronx,10467,BRONX,NY,40.879276,-73.865059
1641071,1642 Lex Flavor Taste Corp,Convenience Store,1642 Lexington Ave,New York,Manhattan,10029,NEW YORK,NY,40.790874,-73.947464
